Perkataan,Pecahan Suku Kata
bebenah,be-be-nah
beberapa,be-be-ra-pa
bebrapa,beb-ra-pa
begawan,be-ga-wan
begitu,be-gi-tu
bekal,be-kal
bekalan,be-ka-lan
bekerja,be-ker-ja
bela,be-la
belacan,be-la-can
belaian,be-lai-an
belajar,be-la-jar
bahru,bah-ru
bahru-lah,bah-ru-lah
bahsa,bah-sa
bahu,ba-hu
bahu-nya,ba-hu-nya
baiduri,bai-du-ri
baik,ba-ik
baik-baik,ba-ik-ba-ik
baiki,ba-i-ki
baiklah,ba-ik-lah
baiknya,ba-ik-nya
bain,ba-in
baisikal,bai-si-kal
baja,ba-ja
bajau,ba-jau
baju,ba-ju
bak,bak
bakar,ba-kar
bakat,ba-kat
bakau,ba-kau
baktimu,bak-ti-mu
balai,ba-lai
balang,ba-lang
balas,ba-las
balas-nya,ba-las-nya
balau,ba-lau
balek,ba-lek
balik,ba-lik
baliklah,ba-lik-lah
balon,ba-lon
balut,ba-lut
bambu,bam-bu
banda,ban-da
bandar,ban-dar
bandaran,ban-da-ran
bandingan,ban-di-ngan
bangau,ba-ngau
bangkit,bang-kit
bangsa,bang-sa
bangsanya,bang-sa-nya
bangsawan,bang-sa-wan
bangun,ba-ngun
bangunkan,ba-ngun-kan
bangus,ba-ngus
banjar-banjaran,ban-jar-ban-ja-ran
banya,ba-nya
banyah-lah,ba-nyah-lah
banyak,ba-nyak
banyak-nya,ba-nyak-nya
banyaklah,ba-nyak-lah
bapa,ba-pa
bara,ba-ra
barakah,ba-ra-kah
barang,ba-rang
barangan,ba-ra-ngan
barat,ba-rat
baru,ba-ru
barulah,ba-ru-lah
bas,bas
basah,ba-sah
basha,bas-ha
basikal,ba-si-kal
basuh,ba-suh
bata,ba-ta
batak,ba-tak
batang,ba-tang
batasnya,ba-tas-nya
batik,ba-tik
batin,ba-tin
batok,ba-tok
batu,ba-tu
batubara,ba-tu-ba-ra
bau,ba-u
baung,ba-ung
baunya,ba-u-nya
bawa,ba-wa
bawah,ba-wah
bawak,ba-wak
bawal,ba-wal
bawalah,ba-wa-lah
bayam,ba-yam
bayang,ba-yang
bayang-bayangkan,ba-yang-ba-yang-kan
bayu,ba-yu
bazaar,ba-zaar
bazar,ba-zar
bebaskan,be-bas-kan
bebatuan,be-ba-tuan
bebenah,be-be-nah
beberapa,be-be-ra-pa
bebrapa,beb-ra-pa
begawan,be-ga-wan
begitu,be-gi-tu
bekal,be-kal
bekalan,be-ka-lan
bekerja,be-ker-ja
bela,be-la
belacan,be-la-can
belaian,be-lai-an
belajar,be-la-jar
belaka,be-la-ka
belakang,be-la-kang
belakang-nya,be-la-kang-nya
belanak,be-la-nak
belanar,be-la-nar
belangah,be-la-ngah
belanggu,be-lang-gu
belas,be-las
belas-belas,be-las-be-las
belati,be-la-ti
belayu,be-la-yu
belebat,be-le-bat
belgia,bel-gia
beli,be-li
belia,be-li-a
belidi,be-li-di
belinang-linang,be-li-nang-li-nang
belingai,be-li-ngai
belinjau,be-lin-jau
belom,be-lom
belum,be-lum
bena,be-na
benak,be-nak
benang,be-nang
benar,be-nar
benatang,be-na-tang
bendahara,ben-da-ha-ra
bendang,ben-dang
bendera,ben-de-ra
bendung,ben-dung
bengkahulu,beng-ka-hu-lu
bengkuang,beng-ku-ang
benguk,be-nguk
bening,be-ning
bentan,ben-tan
bentang,ben-tang
bentuk,ben-tuk
benua,be-nu-a
beracap,be-ra-cap
berada,be-ra-da
beradab,be-ra-dab
beradik,be-ra-dik
beraga-raga,be-ra-ga-ra-ga
beragam,be-ra-gam
beraksi,ber-ak-si
beralas,be-ra-las
beralih,be-ra-lih
beralih-alih,be-ra-lih-a-lih
beralun,be-ra-lun
beralun-alun,ber-a-lun-a-lun
beramah-tamah,be-ra-mah-ta-mah
beramai,be-ra-mai
berambal-ambal,ber-am-bal-am-bal
beranda,be-ran-da
berang,be-rang
berangan,be-ra-ngan
beranggar-anggar,ber-ang-gar-ang-gar
berangin,be-ra-ngin
berangkat,be-rang-kat
berani,be-ra-ni
beranjung,be-ran-jung
berantai-rantai,be-ran-tai-ran-tai
berantun,be-ran-tun
berantun-antun,ber-an-tun-an-tun
berapa-nya,be-ra-pa-nya
berarak,be-ra-rak
beras,be-ras
berasa,be-ra-sa
berasonansi,be-ra-so-nan-si
berastagi,be-ras-ta-gi
berat,be-rat
beratnya,be-rat-nya
beratur,be-ra-tur
beratus,be-ra-tus
berbabak-babak,ber-ba-bak-ba-bak
berbagai,ber-ba-gai
berbagi,ber-ba-gi
berbahagia,ber-ba-ha-gia
berbahu,ber-ba-hu
berbaik,ber-baik
berbaik-baik,ber-ba-ik-ba-ik
berbaju,ber-ba-ju
berbakat,ber-ba-kat
berbakti,ber-bak-ti
berbalam-balam,ber-ba-lam-ba-lam
berbalut,ber-ba-lut
berbangsa-bangsa,ber-bang-sa-bang-sa
berbaring,ber-ba-ring
berbau,ber-ba-u
berbayang-bayang,ber-ba-yang-ba-yang
berbebang,ber-be-bang
berbekal,ber-be-kal
berbekas,ber-be-kas
berbelah,ber-be-lah
berbelit,ber-be-lit
berbenah,ber-be-nah
berbeza,ber-be-za
berbiji,ber-bi-ji
berbilai-bilai,ber-bi-lai-bi-lai
berbincang,ber-bin-cang
berbingkai,ber-bing-kai
berbirat-birat,ber-bi-rat-bi-rat
berbisa,ber-bi-sa
berbohong,ber-bo-hong
berbondong-bondong,ber-bon-dong-bon-dong
berbuah,ber-bu-ah
berbuahlah,ber-bu-ah-lah
berbual,ber-bu-al
berbuat,ber-bu-at
berbudi,ber-bu-di
berbukit-bukau,ber-bu-kit-bu-kau
berbukit-bukit,ber-bu-kit-bu-kit
berbulang,ber-bu-lang
berbuluh,ber-bu-luh
berbunga,ber-bu-nga
berbungkal-bungkal,ber-bung-kal-bung-kal
berbunyi,ber-bu-nyi
berburu,ber-bu-ru
bercabang,ber-ca-bang
bercambah,ber-cam-bah
bercampur-campur,ber-cam-pur-cam-pur
bercanggahan,ber-cang-ga-han
bercangkung,ber-cang-kung
bercap,ber-cap
bercebis-cebis,ber-ce-bis-ce-bis
bercelah,ber-ce-lah
bercerai,ber-ce-rai
berchampor,ber-cham-por
berchela,ber-che-la
berchinta,ber-chin-ta
berciak,ber-ci-ak
bercita-cita,ber-ci-ta-ci-ta
bercorak,ber-co-rak
berdagang,ber-da-gang
berdahan,ber-da-han
berdalih,ber-da-lih
berdansa,ber-dan-sa
berdararh,ber-da-rarh
berdaulah,ber-dau-lah
berdaulat,ber-dau-lat
berdaun,ber-da-un
berdayu-dayu,ber-da-yu-da-yu
berdedai-dedai,ber-de-dai-de-dai
berdendam,ber-den-dam
berderai,ber-de-rai
berderak,ber-de-rak
berderau,ber-de-rau
berdial,ber-di-al
berdiam,ber-di-am
berdiat,ber-di-at
berdiri,ber-di-ri
berdoa,ber-do-a
berdoalah,ber-do-a-lah
berdua,ber-du-a
berduri,ber-du-ri
berduyun,ber-du-yun
beregu,be-re-gu
beregu-regu,be-re-gu-re-gu
berelau-relau,be-re-lau-re-lau
berfaedah,ber-fa-e-dah
berfikir,ber-fi-kir
bergabung,ber-ga-bung
bergala,ber-ga-la
bergandeng,ber-gan-deng
bergantang-gantang,ber-gan-tang-gan-tang
berganti,ber-gan-ti
bergaul,ber-ga-ul
bergaya,ber-ga-ya
bergejolak,ber-ge-jo-lak
bergengsi,ber-geng-si
bergerak,ber-ge-rak
bergesel-gesel,ber-ge-sel-ge-sel
bergilir,ber-gi-lir
bergizi,ber-gi-zi
bergulai,ber-gu-lai
berguling,ber-gu-ling
berguna,ber-gu-na
bergurau,ber-gu-ra-u
berguru,ber-gu-ru
berhabuk,ber-ha-buk
berhanti,ber-han-ti
berhasil,ber-ha-sil
berhati,ber-ha-ti
berhati-hati,ber-ha-ti-ha-ti
berhawa,ber-ha-wa
berhemah,ber-he-mah
berhembus,ber-hem-bus
berhenti,ber-hen-ti
berhias,ber-hi-as
berhibur,ber-hi-bur
berhikmah,ber-hik-mah
berhubung,ber-hu-bung
berhuma,ber-hu-ma
beri,be-ri
beria,be-ri-a
beria-ia,be-ri-a-i-a
beriadah,be-ri-a-dah
beriam-riam,be-ri-am-ri-am
berian,be-ri-an
beribu,be-ri-bu
berilah,be-ri-lah
berima,be-ri-ma
berinci,be-rin-ci
beringin,be-ri-ngin
berita,be-ri-ta
berjadual,ber-ja-du-al
berjahat,ber-ja-hat
berjajar,ber-ja-jar
berjalan,ber-ja-lan
berjam-jam,ber-jam-jam
berjati,ber-ja-ti
berjaya,ber-ja-ya
berjeda,ber-je-da
berjelai-jelai,ber-je-lai-je-lai
berjual,ber-ju-al
berjuang,ber-ju-ang
berjumpa,ber-jum-pa
berjurai-jurai,ber-ju-rai-ju-rai
berkah,ber-kah
berkain,ber-ka-in
berkala-kala,ber-ka-la-ka-la
berkandang,ber-kan-dang
berkarong-karong,ber-ka-rong-ka-rong
berkasih,ber-ka-sih
berkat,ber-kat
berkata,ber-ka-ta
berkati,ber-ka-ti
berkatnya,ber-kat-nya
berkayu,ber-ka-yu
berkecai,ber-ke-cai
berkecamuk,ber-ke-ca-muk
berkelip,ber-ke-lip
berkembar,ber-kem-bar
berkempen,ber-kem-pen
berkenan,ber-ke-nan
berkepuk,ber-ke-puk
berkerat-kerat,ber-ke-rat-ke-rat
berkesan,ber-ke-san
berkhasiat,ber-kha-si-at
berkhayal,ber-kha-yal
berkiam,ber-ki-am
berkias,ber-ki-as
berkicau,ber-ki-cau
berkicauan,ber-ki-cau-an
berkilau,ber-ki-lau
berkilau-an,ber-ki-lau-an
berkilau-kilau,ber-ki-lau-ki-lau
berkira,ber-ki-ra
berkongsi',ber-kong-si
berkuah,ber-ku-ah
berkualiti,ber-ku-a-li-ti
berkuasa,ber-kua-sa
berkubah,ber-ku-bah
berkuih,ber-ku-ih
berkukuan,ber-ku-ku-an
berkumandang,ber-ku-man-dang
berkumat-kamit,ber-ku-mat-ka-mit
berkumpul,ber-kum-pul
berkunjung,ber-kun-jung
berkurai-kurai,ber-ku-rai-ku-rai
berlabuh,ber-la-buh
berlainan,ber-la-i-nan
berlaku,ber-la-ku
berlapan,ber-la-pan
berlarian,ber-la-rian
berlawak,ber-la-wak
berlembah-lembah,ber-lem-bah-lem-bah
berlembar,ber-lem-bar
berlenggang-lenggang,ber-leng-gang-leng-gang
berlian,ber-lian
berlima,ber-li-ma
berlindung,ber-lin-dung
berlingkar-lingkar,ber-ling-kar-ling-kar
berlipat,ber-li-pat
berlunjur,ber-lun-jur
bermaafan,ber-ma-a-fan
bermacam,ber-ma-cam
bermadah,ber-ma-dah
bermain,ber-ma-in
bermakna,ber-mak-na
berminyak,ber-mi-nyak
bermonsoon,ber-mon-soon
bermuara,ber-mua-ra
bermuka,ber-mu-ka
